,Lat,Lon,Count
162,-21.227646479999983,148.93351708454543,110
163,-26.719238215566026,152.99088345704698,106
164,,,0
165,-21.185067344862997,149.15244854355106,146
166,-27.395451222222214,153.1110371693157,45
167,-18.78865296166666,139.52120400489187,60
168,-27.828924797674418,153.28789011141458,43
169,-27.03963138679655,152.79589045590228,231
170,-22.817126425000005,149.9008287944444,36
171,-28.034205077669917,153.42398406598008,103
172,-26.77899248611111,152.02046165833337,72
173,-23.865559956410262,149.16466226666665,78
174,-26.444012696202535,152.93723010137828,79
175,-17.288069211038955,145.4563017538473,231
176,-18.817338103846144,146.25305803907779,78
177,-27.35803535941177,153.0875360409518,85
178,-26.76167467058824,152.37996440000003,17
179,-28.07321216341463,153.4384574170733,82
180,-27.680454211304347,153.19287544695646,115
181,-27.221489744078948,153.06602928149053,76
182,-27.999782583076925,153.42167412401483,130
183,-25.596234001851847,151.84420645922287,27
184,-24.603972687903234,150.17280192330122,62
185,-27.78139351999999,153.2541279701979,60
186,-27.33004018658537,152.07708249821786,41
187,-27.554343351041684,152.29849172696925,96
188,-17.808163235576924,145.96621596326227,104
189,-26.9867971367647,151.8112454439505,68
190,-27.089598888888883,152.95231276931185,243
191,-28.28255868333333,153.37968010822868,6
192,-27.914206750826505,153.30835763055822,242
193,-27.16897035862075,152.96250227730496,174
194,-27.27390620108695,152.9743190814796,92
195,-27.622294801960788,153.04589764537954,102
196,,,0
197,-28.170126300980378,153.20890339558667,102
198,-28.308103832432455,152.71301108494657,74
199,-27.71334729090909,152.95719170121205,33
200,-27.546531565463916,153.01111255015138,97
201,-25.039409566190496,151.87944129786902,105
202,-27.32082785849056,152.77153840188686,53
203,-27.97414729437501,153.17478731286448,80
204,-27.417300964772718,151.7208419083202,88
205,-27.548887648717947,152.89632753381397,39
206,-28.19687904545456,153.54477475633803,33
207,-26.452981503636366,152.68624333997258,55
208,-27.47839077180235,153.02842068535858,172
209,-20.814402127692315,139.3278884292308,65
210,-27.440203440000005,153.0601670306984,45
211,-21.048313906666667,148.99114667866664,75
212,-26.777645336363648,152.72552939754752,55
213,-27.670914850000024,152.39144945047983,76
214,-27.560024372222216,153.0766326200727,108
215,-28.14620076000001,144.63689995166666,60
216,-27.61214132903224,152.88471553374077,124
217,-20.050666916438345,148.13443201712823,73
218,-26.317631077343744,152.8848196748218,64
219,-11.243201275,142.63376828301423,30
220,-27.785397037209293,153.18305360631882,43
221,-27.260847898333328,153.0835112940853,30
222,-21.014762353333328,143.89591300666663,45
223,-27.36730628984372,153.01793015576652,128
224,-27.42694615625,153.02206037325658,32
225,-28.172385620642196,152.12012568797155,109
226,,,0
227,-28.115896810648152,153.43361804894505,108
228,,,0
229,,,0
